category,goal,pledged,funded,blurb_adj,blurb_noun,blurb_verb,blurb_total,full_adj,full_noun,full_verb,full_total,train
Comics,3500,1976,FALSE,0.083333333,0.25,0.083333333,12,0.0775,0.1475,0.1925,800,0
Publishing,1000,131,FALSE,0.1,0.2,0.15,20,0.057142857,0.2,0.171428571,35,0
Games,500,24,FALSE,0.181818182,0.227272727,0.090909091,22,0.078014184,0.134751773,0.175886525,705,0
Art,200,20,FALSE,0.043478261,0.173913043,0.217391304,23,0.06187291,0.170568562,0.177257525,598,0
Games,1000,172,FALSE,0.15,0.3,0,20,0.07734057,0.132971506,0.141112619,737,0
Publishing,5000,0,FALSE,0.115384615,0.307692308,0.076923077,26,0.042168675,0.198795181,0.168674699,166,0
Design,5000,6445,TRUE,0,0.260869565,0.217391304,23,0.071942446,0.167266187,0.172661871,556,0
Publishing,7500,2135,FALSE,0,0.181818182,0.136363636,22,0.050847458,0.169491525,0.18220339,236,0
Film & Video,400000,9,FALSE,0.086956522,0.217391304,0.217391304,23,0.099678457,0.135048232,0.115755627,311,1
Theater,2850,0,FALSE,0.133333333,0.333333333,0,15,0.109589041,0.232876712,0.123287671,73,1
Music,2000,2470,TRUE,0.1,0.1,0.05,20,0.044444444,0.114814815,0.192592593,270,1
Dance,6000,0,FALSE,0.052631579,0.263157895,0.210526316,19,0.054162487,0.120361083,0.207622869,997,1
Technology,2500,0,FALSE,0.214285714,0.214285714,0.142857143,14,0.04950495,0.148514851,0.217821782,101,0
Fashion,2500,100,FALSE,0,0.272727273,0.272727273,22,0.061904762,0.180952381,0.214285714,210,1
Design,15500,20318,TRUE,0,0.333333333,0.166666667,12,0.069868996,0.148471616,0.183406114,458,1
Photography,5000,4707,FALSE,0.111111111,0.222222222,0.055555556,18,0.091764706,0.152941176,0.141176471,425,1
Food,700,139,FALSE,0.227272727,0.227272727,0.136363636,22,0.080385852,0.155948553,0.192926045,622,0
Publishing,1500,0,FALSE,0.136363636,0.090909091,0.181818182,22,0.050847458,0.169491525,0.192090395,177,0
Music,1460,410,FALSE,0.136363636,0.090909091,0.090909091,22,0.036697248,0.146788991,0.174311927,109,0
Publishing,4000,4865,TRUE,0.1,0.15,0,20,0.076327434,0.130530973,0.152654867,904,0
Publishing,5000,1761,FALSE,0.041666667,0.25,0.208333333,24,0.058,0.206,0.178,500,1
Games,10000,80,FALSE,0,0,0,5,0.088541667,0.177083333,0.109375,192,1
Journalism,10000,10,FALSE,0,0.25,0.05,20,0.065420561,0.205607477,0.135514019,214,1
Fashion,5000,0,FALSE,0.111111111,0.166666667,0.222222222,18,0,0.096774194,0.290322581,31,1
Film & Video,4999,5075,TRUE,0,0.25,0.15,20,0.055462185,0.145378151,0.137815126,1190,0
Technology,150000,51,FALSE,0.047619048,0.333333333,0.142857143,21,0.097048808,0.170828604,0.172531215,1762,0
Food,60000,520,FALSE,0.15,0.3,0.05,20,0.0625,0.1328125,0.2265625,128,1
Design,12500,150,FALSE,0.157894737,0.157894737,0.315789474,19,0.094949495,0.157575758,0.183838384,495,0
